casa,metrica,valor
arrieros,aperos,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,147
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,38
arrieros,capitulo_industria,0
arrieros,capitulo_obras,0
arrieros,capitulo_poblacion,25
arrieros,capitulo_territorio,13
arrieros,cargasArbitradas,0
arrieros,comarcas,2
arrieros,comarcasIncorporadas,1
arrieros,edificio_aserradero,240
arrieros,edificio_granja,6023
arrieros,indicioDeArbitraje,0
arrieros,ingresosDeFeria,0
arrieros,jornadas,362
arrieros,lanaEsquilada,0
arrieros,maravedis,102
arrieros,margenDeNegocios,0
arrieros,margenNetoDeNegocios,0
arrieros,negocios,0
arrieros,negociosRentables,0
arrieros,obrasMayores,0
arrieros,obrasTerminadas,9
arrieros,ordenesCanceladas,0
arrieros,ordenesDeAlta,737
arrieros,ordenesEnEspera,169
arrieros,ordenesPropuestas,719
arrieros,ordenesTerminadas,736
arrieros,partidasSinObraMayor,3
arrieros,poblacion,128
arrieros,prestigio,222
arrieros,primeraObraMayor,0
arrieros,primicias,0
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,240
arrieros,producido_maravedis,5085
arrieros,producido_pan,6023
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,5
arrieros,trashumancias,0
arrieros,turnosConEscasez,1
arrieros,turnosDeDecision,200
arrieros,turnosSinOrdenes,4
arrieros,vendido_hierro,0
arrieros,vendido_lana,0
arrieros,vendido_madera,214
arrieros,vendido_maravedis,0
arrieros,vendido_pan,0
arrieros,vendido_piedra,0
arrieros,vendido_sal,0
arrieros,ventasFuera,0
arrieros,ventasSinCompra,214
arrieros,volumenComerciado,1384
arrieros,volumenEnRuta,0
arrieros,prestigio_sobre_mediana_mil,987
arrieros,prestigio_entrando_cada_seis,228
canteros,aperos,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,136
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,98
canteros,capitulo_industria,0
canteros,capitulo_obras,120
canteros,capitulo_poblacion,21
canteros,capitulo_territorio,8
canteros,cargasArbitradas,0
canteros,comarcas,1
canteros,comarcasIncorporadas,0
canteros,edificio_cantera,503
canteros,edificio_granja,5623
canteros,indicioDeArbitraje,0
